순위	도서명	상세링크	저자	출판사	출판일	판매가(원)	평점	리뷰수
14	현직 영어 쌤들의 바로 통하는 영어 수업 루틴 찐 실전 ChatGPT (생성형 AI (에듀테크) 영어 수업 루틴 활용하기!)	https://www.yes24.com/product/goods/193389466	권수정, 장은정, 이민화, 강미나, 유지민	광문각출판미디어	2026년 07월	19000	10.0	19
15	요즘 교사를 위한 AI 수업 활용 가이드 with 2022 개정 교육과정	https://www.yes24.com/product/goods/145426898	박진환, 공지훈, 서원진	한빛미디어	2025년 05월	18000	9.8	65
16	진짜 쓰는 실무 엑셀	https://www.yes24.com/product/goods/106711883	전진권	제이펍	2022년 02월	18900	9.8	388
17	일 잘하는 직장인의 AI 활용법	https://www.yes24.com/product/goods/189531001	김덕중, 김민정, 김인선	디지털북스	2026년 05월	19800	10.0	7
18	된다! 캡컷 영상 편집	https://www.yes24.com/product/goods/188182444	지민이	이지스퍼블리싱	2026년 05월	19800	10.0	31
19	조코딩의 바이브 코딩 1인 창업 with 클로드 코드, 수파베이스, 스트라이프	https://www.yes24.com/product/goods/189855418	조동근	한빛미디어	2026년 05월	27000	9.6	18
20	Do it! 점프 투 파이썬	https://www.yes24.com/product/goods/119293186	박응용	이지스퍼블리싱	2023년 06월	19800	9.7	151
21	교사를 위한 AI 에듀테크 수업·생활·업무 대백과	https://www.yes24.com/product/goods/189634812	송해남, 한의표, 김은서, 박수임, 김혜진, 정보 더 보기/감추기, 송해남, 한의표, 김은서, 박수임, 김혜진, 유영재	프리렉	2026년 05월	24300	10.0	24
22	클로드 코드 마스터	https://www.yes24.com/product/goods/186846424	이남희, 백승현	한빛미디어	2026년 04월	32400	9.8	24
23	된다! 하루 만에 끝내는 제미나이 활용법	https://www.yes24.com/product/goods/163301895	권서림	이지스퍼블리싱	2025년 11월	18000	9.8	78
24	3줄의 글로 수익을 만드는 스레드 운영법	https://www.yes24.com/product/goods/159167901	이동영	한빛미디어	2025년 10월	18000	9.6	40
25	클로드 올인원 with 코워크, 코드, 디자인	https://www.yes24.com/product/goods/192127768	클리커, 강민혁	한빛미디어	2026년 06월	28800	9.8	13
26	혼자 공부하는 파이썬	https://www.yes24.com/product/goods/109625396	윤인성	한빛미디어	2022년 06월	19800	9.4	104
27	UX의 언어들	https://www.yes24.com/product/goods/193444437	한성희, 신행철	파지트	2026년 07월	15300	10.0	1
28	슈퍼휴먼 슈퍼워크	https://www.yes24.com/product/goods/180953300	유호현, 김진실	골든래빗	2026년 03월	21600	9.9	105
29	피지컬 AI 시스템 설계	https://www.yes24.com/product/goods/192505185	엥지유니버스	한빛미디어	2026년 06월	27000	10.0	2
30	바이브 코더를 위한 최소한의 AI/IT 지식	https://www.yes24.com/product/goods/187173505	클리커, 이희영	한빛미디어	2026년 04월	19800	10.0	52
31	교사와 학부모를 위한 바이브 코딩	https://www.yes24.com/product/goods/192876161	황건호, 신종환, 김형규, 김명휘	씨마스21	2026년 07월	24300		0
32	지적 대화를 위한 AI 언어 수업	https://www.yes24.com/product/goods/189212536	강수진	어웨이크(AWAKE)	2026년 05월	18000	10.0	1
33	바로바로 제미나이 X 구글 AI	https://www.yes24.com/product/goods/189114942	공냥이	골든래빗	2026년 06월	21600	10.0	1
34	요즘 교사를 위한 에듀테크 수업 활용 가이드 with 2022 개정 교육과정	https://www.yes24.com/product/goods/183538633	박진환, 서원진, 박권	한빛미디어	2026년 04월	21600	9.9	124
35	클로드 코워크 with 스킬, 플러그인	https://www.yes24.com/product/goods/183674597	클리커, 강민혁	한빛미디어	2026년 03월	23400	9.1	23
36	요즘 교사를 위한 구글 AI 3대장_제미나이, 노트북LM, AI 스튜디오	https://www.yes24.com/product/goods/191481932	송명신, 최연준, 최수진, 양서현	앤써북	2026년 06월	15930	10.0	15
37	학교에서 바로 쓰는 제미나이 & 노트북LM	https://www.yes24.com/product/goods/184533580	손성호, 김민, 김상백, 송유미, 박권, 정보 더 보기/감추기, 손성호, 김민, 김상백, 송유미, 박권, 최동욱	학교도서관저널	2026년 04월	17100	10.0	15
38	세컨드 브레인은 옵시디언 with 클로드 코드	https://www.yes24.com/product/goods/184275427	시안	골든래빗	2026년 04월	23750	9.8	37
39	요즘 바이브 코딩 코덱스 완벽 가이드	https://www.yes24.com/product/goods/175110068	윤재원	골든래빗	2026년 02월	25200	9.8	36
40	구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드	https://www.yes24.com/product/goods/144648441	지미정, 장성진, 유병선	앤써북	2025년 04월	21960	9.9	17
41	AI가 두려운 당신에게	https://www.yes24.com/product/goods/193361186	배경훈, 과학기술정보통신부	한빛미디어	2026년 07월	16020	9.9	26
42	딥 유토피아	https://www.yes24.com/product/goods/192878493	닉 보스트롬, 김의석	까치(까치글방)	2026년 05월	25200		0
43	요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정	https://www.yes24.com/product/goods/192509680	김태선, 조민의	한빛미디어	2026년 06월	18900	9.9	95
44	Do it! AI 시대에 살아남는 프런트엔드 면접의 기술	https://www.yes24.com/product/goods/191211795	정희	이지스퍼블리싱	2026년 06월	32400	10.0	5
45	중국 AI 미래 지도	https://www.yes24.com/product/goods/191700749	임선영, 정진호	책만	2026년 06월	24300	9.6	11
46	AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드	https://www.yes24.com/product/goods/191693950	조훈	길벗	2026년 06월	21600	10.0	3
47	원하는 대로 튜닝하는 나만의 sLLM	https://www.yes24.com/product/goods/193160264	오지영	길벗	2026년 07월	30600	10.0	1
48	돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡 [AI 실전 활용, 2026년 정책 반영]	https://www.yes24.com/product/goods/192695313	김경은(단아쌤)	골든래빗	2026년 07월	23220		0
49	제미나이 교사 마스터 플랜 (2026년 최신판)	https://www.yes24.com/product/goods/183545796	한민철	책바세	2026년 04월	27000	10.0	26
50	된다! 조회수 터지는 유튜브 쇼츠 만들기	https://www.yes24.com/product/goods/143907967	최지영	이지스퍼블리싱	2025년 04월	19800	9.9	65
51	한 권으로 끝내는 제미나이 재테크	https://www.yes24.com/product/goods/193044742	조성호	한빛미디어	2026년 07월	18900	10.0	1
52	딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트	https://www.yes24.com/product/goods/192564690	LearnAI Team	위키북스	2026년 07월	23400		0
53	누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오	https://www.yes24.com/product/goods/152644865	현병욱(오땡큐), 신수진	시프트	2025년 09월	18000	9.7	29
54	AI 2041	https://www.yes24.com/product/goods/116860343	리카이푸, 천치우판, 이현	한빛비즈	2023년 01월	26820	9.7	75
55	이게 되네? AI 실무 올인원 미친 활용법 71제	https://www.yes24.com/product/goods/192277218	이석현	골든래빗	2026년 07월	23400	10.0	16
56	이게 되네? 캔바 AI 미친 활용법 47제	https://www.yes24.com/product/goods/187491806	이지쌤(이지훈)	골든래빗	2026년 05월	21600	10.0	15
57	슬기로운 교사 생활 캔바 AI 수업 활용법	https://www.yes24.com/product/goods/192877328	미나리쌤	골든래빗	2026년 07월	21420	10.0	12
58	된다! 하루 만에 끝내는 챗GPT 활용법	https://www.yes24.com/product/goods/146955725	프롬프트 크리에이터	이지스퍼블리싱	2025년 06월	18000	9.5	99
59	리더의 AI 노트	https://www.yes24.com/product/goods/192529089	김지현	한빛미디어	2026년 06월	21600	10.0	1
60	90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제	https://www.yes24.com/product/goods/193050689	최우진	앤써북	2026년 07월	15930	10.0	7
61	회사는 엑셀을 가르쳐주지 않아요	https://www.yes24.com/product/goods/112941801	쏘피(박성희)	메가스터디북스	2022년 09월	16200	9.7	79
62	검색은 끝났다 AEO·GEO 마케팅	https://www.yes24.com/product/goods/191698395	주민건, 한용희, 김진용	골든래빗	2026년 06월	21600	9.8	11
63	다시, 소프트웨어 엔지니어	https://www.yes24.com/product/goods/189674360	네서니얼 슈타, 댄 베가, 박성철	책만	2026년 05월	27000		0
64	AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지	https://www.yes24.com/product/goods/185714339	김용성	프리렉	2026년 04월	22500	9.7	207
65	혼자 공부하는 머신러닝+딥러닝	https://www.yes24.com/product/goods/143912145	박해선	한빛미디어	2025년 04월	28800	9.7	148
66	수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법	https://www.yes24.com/product/goods/189128697	황은지	제이펍	2026년 05월	19800	9.9	34
67	된다! 하루 만에 준비하는 AI 학교 수업 활용법	https://www.yes24.com/product/goods/142814138	정인걸, 김경수	이지스퍼블리싱	2025년 03월	17820	10.0	40
68	혼자 공부하는 C 언어	https://www.yes24.com/product/goods/118982111	서현우	한빛미디어	2023년 05월	23400	9.6	54
69	밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복	https://www.yes24.com/product/goods/192047818	엄태효	위키북스	2026년 06월	25200	10.0	2
70	클로드 코워크	https://www.yes24.com/product/goods/190852162	신승희	생능북스	2026년 06월	21600	10.0	26
71	아키텍처는 진화한다	https://www.yes24.com/product/goods/192470678	공상휘	인사이트(insight)	2026년 07월	25200		0
72	AI시대에 난생처음 들어보는 데이터센터 이야기	https://www.yes24.com/product/goods/188266803	김주회	북플레이트	2026년 04월	19800	10.0	18
73	진짜 쓰는 프리미어 영상 편집 2026 (최신개정판)	https://www.yes24.com/product/goods/191173742	조블리	제이펍	2026년 06월	23400	10.0	18
74	요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!	https://www.yes24.com/product/goods/176901915	임우균, 서지원	앤써북	2026년 02월	15120	10.0	19
75	그림으로 이해하는 IT 인프라 구조와 기술	https://www.yes24.com/product/goods/192533233	츠루나가 신이치, 야마모토 나오아키, 야마네 다케노부, 기타자키 아야치카, 김성훈	길벗	2026년 06월	19800	10.0	5
76	클로드 코워크 시작하기	https://www.yes24.com/product/goods/192164452	조남경	비엘북스	2026년 07월	25200		0
77	AI 냄새 지우기	https://www.yes24.com/product/goods/191485571	벤진 리드	자이언톡	2026년 06월	17820	10.0	14
78	된다! 스레드 활용법	https://www.yes24.com/product/goods/189520507	거북이걸음	이지스퍼블리싱	2026년 06월	19800	10.0	36
79	돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그	https://www.yes24.com/product/goods/185824258	정소희	골든래빗	2026년 04월	23220	9.9	16
80	된다! 조회수 터지는 인스타그램 릴스 만들기	https://www.yes24.com/product/goods/180508055	최지영	이지스퍼블리싱	2026년 03월	18900	9.9	74
81	맛있는 디자인 포토샵&일러스트레이터 CC 2026	https://www.yes24.com/product/goods/176410996	박정아, 윤이사라	한빛미디어	2026년 02월	23400	10.0	139
82	7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판)	https://www.yes24.com/product/goods/191321951	홍순성	한빛미디어	2026년 06월	22500	9.8	10
83	Do it! 유니티 6로 게임 제작 & 출시하기	https://www.yes24.com/product/goods/189790267	고정운	이지스퍼블리싱	2026년 05월	32400	10.0	2
84	AI 실전 마스터 칼릭스의 프롬프트 디테일	https://www.yes24.com/product/goods/187927629	칼릭스(손윤석)	한빛비즈	2026년 04월	19800	9.7	13
85	n8n이 다 해줌	https://www.yes24.com/product/goods/185269651	이인영, 임정	한빛미디어	2026년 04월	25200	9.9	113
86	한 권으로 끝내는 피지컬 AI ROS2 입문+실전(종합편)	https://www.yes24.com/product/goods/184310483	서민우, 전현희, 이현아, 박찬호	앤써북	2026년 04월	22950	10.0	14
87	Do it! LLM을 활용한 AI 에이전트 개발 입문	https://www.yes24.com/product/goods/146036009	이성용	이지스퍼블리싱	2025년 05월	31500	9.7	23
88	혼자 공부하는 컴퓨터 구조+운영체제	https://www.yes24.com/product/goods/111378840	강민철	한빛미디어	2022년 08월	25200	9.8	118
89	요즘 바이브 코딩 하네스 with 클로드 코드	https://www.yes24.com/product/goods/190806231	조성진	골든래빗	2026년 06월	27000	10.0	5
90	클로드 코드를 활용한 바이브 코딩 완벽 입문	https://www.yes24.com/product/goods/180513899	히라카와 토모히데, 최용	위키북스	2026년 03월	23400	9.5	8
91	누구나 성공하는 AI 비서, 오픈클로	https://www.yes24.com/product/goods/193691277	박권, 임세범, 홍성용, 정용석, 김경상, 정보 더 보기/감추기, 박권, 임세범, 홍성용, 정용석, 김경상, 김준오, 강현수	책밥	2026년 07월	21600		0
92	AI 영상 제작	https://www.yes24.com/product/goods/193681748	문수민, 민지영, 신호진, 강경희, 앤미디어	길벗	2026년 07월	24300	10.0	3
93	벡터 데이터베이스 설계와 구축	https://www.yes24.com/product/goods/192962342	송기상	아이리포	2026년 07월	17820		0
94	생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼)	https://www.yes24.com/product/goods/192662784	장미희	박문각	2026년 07월	20900	9.9	27
95	베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼)	https://www.yes24.com/product/goods/189629427	송상미, 윤소영, 강은정	광문각출판미디어	2026년 05월	19000	10.0	46
96	승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트	https://www.yes24.com/product/goods/188882750	씨엠제이(최민정)	한빛미디어	2026년 05월	16200	10.0	23
97	모두의 노션 AI	https://www.yes24.com/product/goods/183919456	임대균, 오가연	생능북스	2026년 04월	15120	9.8	52
98	AI 시대 서·논술형 평가 설계 바이블	https://www.yes24.com/product/goods/183539313	조현준, 이근숙, 권좌실, 이슬기, 엄주연, 정보 더 보기/감추기, 조현준, 이근숙, 권좌실, 이슬기, 엄주연, 오덕수	에듀니티교육연구소(에듀니티)	2026년 03월	19800	10.0	9
99	AI 에이전트 엔지니어링	https://www.yes24.com/product/goods/174018513	마이클 알바다, 강민혁	한빛미디어	2026년 01월	28800	9.5	17
100	이게 되네? AI 쇼츠 만들기 미친 자동화 22제	https://www.yes24.com/product/goods/169665962	천은영	골든래빗	2026년 01월	23400	10.0	10
101	대체불가 AI 영상 제작 완전정복	https://www.yes24.com/product/goods/165239801	이용태	책바세	2025년 12월	26100	9.7	14
102	AI 엔지니어링	https://www.yes24.com/product/goods/154925812	칩 후옌, 변성윤	한빛미디어	2025년 09월	36000	9.9	17
103	업무와 일상을 정리하는 새로운 방법 노션	https://www.yes24.com/product/goods/147074475	전시진	제이펍	2025년 06월	21600	9.7	20
104	핸즈온 LLM	https://www.yes24.com/product/goods/146828240	제이 알아마르, 마르턴 흐루턴도르스트, 박해선	한빛미디어	2025년 06월	34200	9.8	25
105	질문으로 답을 찾는 인공지능 윤리 수업	https://www.yes24.com/product/goods/144979816	박형빈	한언	2025년 04월	18900	9.8	11
106	마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷	https://www.yes24.com/product/goods/142201171	김지희	시프트	2025년 03월	20700	9.9	32
107	바로바로 챗GPT X 덕테이프 X 코덱스	https://www.yes24.com/product/goods/191479539	박현규	골든래빗	2026년 06월	21600	9.0	4
108	하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩	https://www.yes24.com/product/goods/193667871	그릿지선(이지선)	호호북앤드림	2026년 07월	17820		0
109	색보정을 시작하는 초보 컬러리스트 유튜버를 위한 다빈치리졸브 색보정	https://www.yes24.com/product/goods/193184189	전수연	디지털북스	2026년 07월	19800		0
110	ComfyUI 독학노트	https://www.yes24.com/product/goods/193157707	김한호, 김홍일, 권구영, 윤택한, 최태온, 정보 더 보기/감추기, 김한호, 김홍일, 권구영, 윤택한, 최태온, 김나래, 안현준	성안당	2026년 07월	34200	10.0	1
111	요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품	https://www.yes24.com/product/goods/193084292	시몬	골든래빗	2026년 07월	30600		0
112	이게 되네? 클로드 MCP 커넥터 미친 활용법 31제	https://www.yes24.com/product/goods/190210781	박현규, 김성경	골든래빗	2026년 06월	21600	8.8	5
113	알고 나면 무조건 써먹는 실무 엑셀	https://www.yes24.com/product/goods/188859248	정훈희	한빛미디어	2026년 05월	20700	9.7	13
114	퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI	https://www.yes24.com/product/goods/187039263	권현욱	디지털북스	2026년 04월	19800	10.0	6
115	자연은 왜 이토록 단순하면서도 아름다운가	https://www.yes24.com/product/goods/186833195	로버트 칸, 크리스 퀴그, 박병철	알에이치코리아(RHK)	2026년 04월	31500	9.7	13
116	맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026	https://www.yes24.com/product/goods/179619230	심수진, 윤성우, 이수정	한빛미디어	2026년 03월	24300	9.9	124
117	AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법	https://www.yes24.com/product/goods/175525819	Dave Lee	길벗	2026년 02월	28800	9.6	25
118	서논술형 평가, AI로 깊이를 더하다	https://www.yes24.com/product/goods/167719977	지미정, 장희영, 권의선, 이진원, 김수경, 정보 더 보기/감추기, 지미정, 장희영, 권의선, 이진원, 김수경, 박범진	앤써북	2025년 12월	22950	10.0	13
119	처음이지만 프로처럼 쓰는 노션 Notion	https://www.yes24.com/product/goods/154182485	박한용	디지털북스	2025년 09월	22500	10.0	40
120	회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글	https://www.yes24.com/product/goods/151066074	전미진, 이화진, 신면철	한빛미디어	2025년 08월	24300	9.6	43
121	한 권으로 끝내는 아두이노 입문+실전 (종합편)	https://www.yes24.com/product/goods/143539772	서민우, 코코랩스	앤써북	2025년 03월	19800	10.0	1
122	이게 되네? 챗GPT 미친 활용법 71제	https://www.yes24.com/product/goods/140835200	오힘찬	골든래빗	2025년 01월	21600	9.6	259
123	혼자 공부하는 네트워크	https://www.yes24.com/product/goods/125830483	강민철	한빛미디어	2024년 04월	25200	9.8	48
124	F1 레이스카의 공기역학	https://www.yes24.com/product/goods/122966082	윤재수, 김효원	골든래빗	2023년 11월	45000	10.0	2
125	후니의 쉽게 쓴 시스코 네트워킹	https://www.yes24.com/product/goods/113485068	진강훈	성안당	2024년 08월	38700	9.4	7
126	혼자 공부하는 SQL	https://www.yes24.com/product/goods/104661489	우재남	한빛미디어	2021년 11월	21600	9.7	52
127	주인의 눈	https://www.yes24.com/product/goods/192469511	맛떼오 파스퀴넬리, 이광석, 김상민	동녘	2026년 06월	27000		0
128	AI 자율학습 AI 에이전트 개발 입문	https://www.yes24.com/product/goods/192583611	박경민	길벗	2026년 07월	28800	9.3	3
129	AI 에이전트 실행 세계 2 : 설계편	https://www.yes24.com/product/goods/191507359	조쉬	로드북	2026년 06월	31500		0
130	혼자 해도 프로 선생님처럼 잘 설계하는 AI 자동화 교실	https://www.yes24.com/product/goods/192630668	박창민, 이승우, 이슬민, 김동환, 김민, 정보 더 보기/감추기, 박창민, 이승우, 이슬민, 김동환, 김민, 김태현, 이운희, 이현석	한빛미디어	2026년 07월	20700		0
131	만들면서 배우는 AI 에이전트 개발 입문+실전	https://www.yes24.com/product/goods/187703288	박나연(공원나연)	한빛미디어	2026년 05월	33300	9.6	45
132	요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기	https://www.yes24.com/product/goods/187024885	불혹코딩	골든래빗	2026년 05월	23400	9.9	15
133	AI 국부론	https://www.yes24.com/product/goods/181178233	이승현	골든래빗	2026년 03월	25200	10.0	107
134	무조건 도움되는 유아교사 업무경감	https://www.yes24.com/product/goods/174197933	김나영, 남동윤, 이영은, 장효정, 최지이, 정보 더 보기/감추기, 김나영, 남동윤, 이영은, 장효정, 최지이, 황경미	교육과실천	2026년 01월	22950	10.0	9
135	AI 로봇 구조 교과서	https://www.yes24.com/product/goods/172059324	유승남	보누스	2026년 01월	20700	10.0	15
136	나는 오렌지3로 인공지능한다	https://www.yes24.com/product/goods/167452848	장병철, 서미란, 박지훈, 정종호	씨마스	2025년 12월	20700	10.0	43
137	밑바닥부터 만들면서 배우는 LLM	https://www.yes24.com/product/goods/154099735	세바스찬 라시카, 박해선	길벗	2025년 09월	36000	9.6	27
138	바로 배워서 바로 써먹는 바이브 코딩	https://www.yes24.com/product/goods/152079426	박찬, 김병석, 전수연, 김지용, 구현희, 정보 더 보기/감추기, 박찬, 김병석, 전수연, 김지용, 구현희, 전채원, 홍찬우, 이상선	다빈치books	2025년 09월	19800	10.0	43
139	보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책	https://www.yes24.com/product/goods/150009333	박경수	한빛비즈	2025년 08월	19800	9.0	16
140	디자인 구구단	https://www.yes24.com/product/goods/129392318	에이핫	길벗	2024년 08월	18000	9.6	77
141	그림으로 이해하는 서버 구조와 기술	https://www.yes24.com/product/goods/127086566	요코타 카즈키, 엔도 유키, 김성훈	길벗	2024년 06월	19800	10.0	14
142	Do it! C++ 완전 정복	https://www.yes24.com/product/goods/125606390	조규남, 문종채	이지스퍼블리싱	2024년 03월	28800	9.2	24
143	오토캐드 40시간 완성	https://www.yes24.com/product/goods/125293471	신동진	피앤피북	2024년 03월	18000	10.0	6
144	모두의 네트워크 기초	https://www.yes24.com/product/goods/124806989	서지영	길벗	2024년 01월	21600	9.7	14
145	핸즈온 머신러닝	https://www.yes24.com/product/goods/122338517	오렐리앙 제롱, 박해선	한빛미디어	2023년 09월	54000	9.7	39
146	가상 면접 사례로 배우는 대규모 시스템 설계 기초	https://www.yes24.com/product/goods/102819435	알렉스 쉬, 이병준	인사이트(insight)	2021년 07월	21600	9.4	60
147	소프트웨어 테스트 전문가(CSTS) 가이드	https://www.yes24.com/product/goods/99359735	한국정보통신기술협회(TTA)	홍릉	2021년 04월	31350	8.0	6
148	데이터 중심 애플리케이션 설계	https://www.yes24.com/product/goods/59566585	마틴 클레프만, 정재부, 김영준, 이도경	위키북스	2018년 04월	32400	8.8	21
149	미래를 바꾼 아홉 가지 알고리즘	https://www.yes24.com/product/goods/8921236	존 맥코믹, 민병교	에이콘출판사	2013년 05월	16920	9.1	48
150	바이브 엔지니어링	https://www.yes24.com/product/goods/192277220	제이 킴	길벗	2026년 06월	21600	9.2	5
151	AI 에이전트 실행 세계 1 : 원리편	https://www.yes24.com/product/goods/191506324	조쉬	로드북	2026년 06월	27000		0
152	생존을 위한 최소한의 AI 교양	https://www.yes24.com/product/goods/190419762	조남호	골든래빗	2026년 06월	22500	9.9	23
153	코딩 몰라도 시작하는 바이브 코딩	https://www.yes24.com/product/goods/193391571	박인찬	혜지원	2026년 07월	18000		0
154	교사의 시간 AI로 다시 쓰다	https://www.yes24.com/product/goods/193184112	황영준, 박성완, 양기송	에듀윌	2026년 07월	12600		0
155	브랜드가 된 디자이너	https://www.yes24.com/product/goods/192666096	노선선	시프트	2026년 07월	18900		0
156	스토리 창작자를 위한 AI 활용 가이드	https://www.yes24.com/product/goods/191855007	야마카와 겐이치, 이마이 아키히코, 아시자와 가모메, 송경원	요다	2026년 06월	16200	10.0	4
157	혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 제미나이	https://www.yes24.com/product/goods/191321747	김태훈, 손민지, 김한나	한빛미디어	2026년 06월	19800	10.0	8
158	AI 대세전환 안티그래비티 × 바이브 코딩 압도적 업무 역량	https://www.yes24.com/product/goods/189445450	정용범, 손상우, 박성환	프리렉	2026년 05월	27000	10.0	28
159	누구나 코딩하는 시대, 1일 10분 바이브 코딩	https://www.yes24.com/product/goods/187954810	김영욱	한빛미디어	2026년 04월	19800	10.0	16
160	이게 되네? 오픈클로 미친 활용법 50제	https://www.yes24.com/product/goods/185166276	한준구	골든래빗	2026년 05월	21600	9.8	9
161	인스타그램 릴스 & 알고리즘 공략법 : 100만 조회수 만들기	https://www.yes24.com/product/goods/184570770	서진원	이은북	2026년 04월	16020	9.9	121
162	수업과 업무에 바로 적용하는 생성형 AI 활용 58제	https://www.yes24.com/product/goods/184269953	임세범	앤써북	2026년 04월	16920	9.7	7
163	바로바로 바이브 코딩 with 커서 AI	https://www.yes24.com/product/goods/183530330	박현규	골든래빗	2026년 04월	27000	10.0	11
164	옵시디언 프로페셔널 노트	https://www.yes24.com/product/goods/182134623	구요한	리코멘드	2026년 03월	22500	9.9	35
165	맛있는 디자인 피그마 with AI	https://www.yes24.com/product/goods/179694520	이영주	한빛미디어	2026년 02월	25200	9.9	125
166	된다! 피그마 디자인 10분 레시피	https://www.yes24.com/product/goods/176919464	하이서, 김대일, 김시원, 최유빈	이지스퍼블리싱	2026년 02월	25200	10.0	27
167	광고, UX/UI, 브랜딩에 바로 쓰는 디자인 심리 108	https://www.yes24.com/product/goods/174048990	321web(미쓰이 마사유키), 김현미	시프트	2026년 01월	16200	10.0	14
168	컴퓨팅 사고와 정보과학 : 2025년도 기출문제집(중·고등학생용)	https://www.yes24.com/product/goods/168654454	한국비버챌린지 (Bebras Korea)	생능출판사	2025년 12월	13500	10.0	4
169	스케치업&엔스케이프 트레이닝 북	https://www.yes24.com/product/goods/161420414	강석창	한빛미디어	2025년 10월	28800	10.0	27
170	된다! 미리캔버스&캔바 디자인 수업	https://www.yes24.com/product/goods/152553545	방구석 다람쥐(배가을)	이지스퍼블리싱	2025년 09월	21600	9.8	26
171	요즘 바이브 코딩 클로드 코드 완벽 가이드	https://www.yes24.com/product/goods/151850127	최지호	골든래빗	2025년 09월	21600	8.5	19
