순위,도서명,상세링크,저자,출판사,출판일,판매가(원),평점,리뷰수,책소개
60,90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제,https://www.yes24.com/product/goods/193050689,최우진,앤써북,2026년 07월,15930,10.0,7,"""선생님, 방금 그거 어떻게 하신 거예요?""
매일 켜는 내 컴퓨터, 그 안에 숨어 있던 40가지 꿀기능
나이스(NEIS) 창을 띄워 두고, 내일 수업 자료를 만들고, 쏟아지는 공문을 처리하는 선생님의 책상 풍경은 학교급과 상관없이 놀랍도록 비슷합니다. 우리가 하루 중 가장 오래 마주하는 도구는 다름 아닌 '윈도우가 깔린 평범한 업무용 컴퓨터'입니다. 그런데 그 안에는 90%의 선생님이 몰라서 쓰지 못했던 기능들이 보물처럼 숨어 있습니다.
이 책은 처음부터 끝까지 정독해야 하는 이론서가 아닙니다. 업무를 보다가, 수업을 준비하다가 ""아, 이거 지난번에 어떻게 했더라?"" 하고 막히는 순간 모니터 옆에서 쓱 꺼내 보는 실전 비법서입니다. 복잡한 설명은 덜어내고, 바로 써먹을 수 있는 실전형 팁 40가지를 엄선해 꾹꾹 눌러 담았습니다.
특히 긴 글을 읽지 않아도 직관적으로 이해할 수 있도록, 저자의 안내 캐릭터 '콜리쌤'과 컴퓨터 조작 과정을 한눈에 보여 주는 맞춤형 인포그래픽을 풍성하게 배치했습니다. 윈도우 단축키, 마우스 휠 활용, AI를 만난 사진 앱·그림판, 스크롤 캡처, 전자 서명, PDF 무료 편집, 개인정보·흔적 삭제, 학교 안심 폰트, 자모 분리 오류 해결까지-교사가 매일 마주하는 바로 그 상황들을 콕 집어 해결합니다.
그리고 99%의 선생님이 모르는 히든 챕터, 마이크로소프트 파워토이즈(PowerToys). ZoomIt, FancyZones, 고급 붙여넣기, Color Picker, Image Resizer 등 한 번 맛보면 빠져나올 수 없는 12가지 기능으로 멀티 업무와 수업 몰입을 한 단계 끌어올립니다."
61,회사는 엑셀을 가르쳐주지 않아요,https://www.yes24.com/product/goods/112941801,쏘피(박성희),메가스터디북스,2022년 09월,16200,9.7,79,"“회사는 엑셀 쓰는 법 가르쳐주지 않아요. 일만 줍니다.”

퇴근시간 확 당겨줄 100% 실무 포커스 엑셀 활용 가이드북

‘탈잉’ 1위 엑셀 클래스의 수업 내용을 한 권에 담다!

대기업 인사 담당자들이 Pick한 엑셀 전문가 쏘피

1초도 낭비하지 않는, 진짜 실무에 필요한 엑셀 스킬!


교육 VOD 플랫폼 ‘탈잉’의 1위 엑셀 클래스인 ‘실무에 진짜 필요한 엑셀 노하우’의 생생한 강의 내용을 이제 책으로 만난다! 1:1 과외, 그룹 스터디, 대형 강의, 기업 출강, 탈잉 온·오프라인 클래스까지 총 10,000명 이상을 가르친 쏘피 튜터의 노하우가 고스란히 담긴 이 책은 엑셀 입문자의 눈높이에 맞춰 회사에서 반드시 필요한 엑셀 사용법을 설명한다. 


엑셀에 있는 수천 개의 기능 중 복잡한 건 다 빼고 꼭 필요한 기능만 골라 정리한 책으로, 이 책에 있는 기능만 알면 실무에서 생기는 모든 일은 다 처리할 수 있다. 특히 실무에서 가장 빈번하게 사용하는 피벗테이블과 V-lookup는 확실하게 공략할 수 있게 다양한 사례를 들어 다룬다. 아울러 요즘 자주 쓰는 신규 함수인 ‘xlookup’, ‘ifs’, 엑셀과 같은 듯하면서도 좀 다른 ‘구글 스프레드 시트’의 시트 생성법부터 팀원과 공유하는 기능까지도 알려준다.


필터, 틀고정, 조건부서식 등의 기본 활용법은 물론, 데이터 정리할 때 특히 자주 사용하게 되는 날짜 함수, 보고서를 한층 있어 보이게 만들어주는 미니차트, 스파크라인 등의 다양한 차트 사용법, 은근히 많이들 헤매는 원하는 범위 인쇄하는 팁까지, 차마 사수에게도 물어보지 못했던 각종 엑셀 궁금증을 이 책 한 권으로 속시원하게 해결할 수 있다."
62,검색은 끝났다 AEO·GEO 마케팅,https://www.yes24.com/product/goods/191698395,"주민건, 한용희, 김진용",골든래빗,2026년 06월,21600,9.8,11,"*당신 제품과 브랜드는 지금 AI의 답변에 들어 있는가, 아니면 사라지고 있는가?
*먼저 AEO·GEO를 시작한 사람이 고객을 차지한다!
*대한민국 1티어 AEO·GEO 전문가가 전하는 비즈니스를 성장시키는 특급 노하우!
AI 시대, 제품과 브랜드를 제대로 알리고 싶은 절실한 마음을 가진 마케터가 가장 먼저 부딪히는 질문을 단 하나다. ""소비자가 AI에게 물었을 때, 우리 제품이 거기 있는가?"" 이 질문에 자신 있게 답하지 못한다면, 승패는 이미 갈리고 있는 것이다.
이제 검색창은 잊자!
이미 소비자는 AI에게 직접 묻고 있다
""건조한 피부에 맞는 3만 원대의 수분이 풍부한 크림 몇 개만 추천해줘."" 이제 이 한 문장으로 소비자는 탐색을 끝낸다. 검색창에 워드를 넣고, 네이버 블로그 후기를 뒤지고, 다나와 같은 가격 비교 사이트를 도는 번거로운 여정을 소비자는 더 이상 거치지 않는다. 챗GPT, 퍼플렉시티, 클로드나 제미나이 같은 AI가 수만 개의 페이지를 순식간에 읽어 깔끔하게 정리된 답 하나를 내놓고, 소비자는 그 답만 믿고 지갑을 한번에 연다. '비교하고 판단하는' 구매의 핵심 단계가 통째로 AI에게 넘어간 것이다. 이것은 검색 도구 하나가 바뀐 사건이 아니다. 마케팅의 핵심 주도권이 완전히 다른 곳으로 이동한 마케팅 역사상 가장 큰 사건이다.
 
검색 패러다임 대전환의 시대
비즈니스를 성장시키려면 AI라는 까다로운 상대를 내편으로 만들어야 한다!
문제는 AI가 무척 어려운 상대라는 데 있다. 소비자가 직접 링크를 열고 훑던 시절에는 웹의 2페이지에 우리 제품이 있어도 우연한 클릭을 기대할 수 있었지만, AI가 답을 요약하는 요즘 시대에는 '중간'이 없다.
AI가 만드는 추천 리스트 두세 개 안에 들거나, 아예 존재하지 않는 브랜드가 되거나 둘 중 하나다. AI는 수십억을 들인 광고에 눈물 흘리지 않고, 유명 모델의 미소에 혹하지도 않는다. 오직 명확한 구조, 주장을 받치는 객관적 근거, 여러 플랫폼에서 일관되게 반복되는 데이터만으로 제품과 브랜드를 판단한다. 겉으로 나오는 광고 성과는 좋은데, 정작 AI 답변에서는 우리 제품과 브랜드가 보이지 않는 기이한 현상의 정체가 바로 여기 있다. 이제 마케터가 설득해야 할 상대는 소비자만이 아니다. 가장 강력한 문지기인 AI까지 함께 설득해야 한다.
 
질문에 답변으로 출력되는 AI라는 기회의 땅
AEO·GEO라는 텅 빈 영토를 먼저 차지하라
그런데 이 까다로운 상대는 뒤집어 보면 거대한 기회이기도 하다. 아직 대부분의 브랜드가 AI를 어떻게 설득해야 할지 감조차 잡지 못한 지금이야말로, 먼저 움직이는 쪽이 모든 것을 가져갈 수 있는 순간이기 때문이다.
과거 SEO를 외면한 기업, 모바일 전환에 늦은 브랜드가 치른 혹독한 대가를 우리는 기억한다. AI 검색이 막 열린 지금, 누군가는 일시적 유행이라 관망하고 누군가는 발 빠르게 SEO가 사라진 빈 영토를 선점한다. 기회의 문이 열려 있는 시간은 생각보다 짧다. 지금 이 빈 땅에 우리 제품과 브랜드의 깃발을 먼저 꽂는 사람이, AI가 내미는 답변의 첫 줄을 차지한다. 남은 질문은 단 하나, 무엇을 어떻게 심어야 그 자리를 오래 지킬 수 있는가다.
 
글로벌 브랜드 프로젝트를 진행한, 대한민국 1티어 AEO·GEO 전문가가
독자에게 전하는 AI 시대에도 비즈니스를 급성장시키는 특급 노하우를 만나보세요!
이 책은 AI를 우리가 설득해야 할 새로운 소비자이자 문지기로 규정하고, 모두가 손에 꼽는 대한민국 1티어 AEO·GEO 전문가인 저자들이 국내외 40여 개 프로젝트에서 길어 올린 특별한 노하우를 독자에게 쉽게 풀어낸다.
AI가 질문을 어떻게 해석하고, 어떤 기준으로 출처를 고르며, 최종 답변을 어떻게 만들어내는지 그 메커니즘을 친절하고 쉽게 알려주는 것이다. 나아가 콘텐츠 하나의 최적화를 넘어 브랜드 전체를 AI의 언어로 다시 설계하는 법, AEO·GEO를 마케터 혼자가 아니라 조직 전체가 함께 굴리는 운영 체계로 만드는 법, 그리고 AI가 결제 버튼까지 누르는 에이전트 커머스 시대, 반드시 알아야 할 생존 전략까지 확실하게 짚는다. 
어떻게 우리 제품과 브랜드를 알릴지 막막한 당신이라면, AEO·GEO의 첫발을 내딛기에 앞서서 가장 먼저 펼쳐야 할 단 한 권이 바로 이 책이다."
63,"다시, 소프트웨어 엔지니어",https://www.yes24.com/product/goods/189674360,"네서니얼 슈타, 댄 베가, 박성철",책만,2026년 05월,27000,,0,"AI에도 흔들리지 않을 개발자의 조건과 기본 역량
유능한 소프트웨어 엔지니어가 되려면 무엇을 알아야 할까? 대학이나 부트캠프에서는 알고리듬 기초와 코딩 방법을 가르칠지 모르지만, 전문가로 성장하기 위한 필수 주제를 다루는 경우는 거의 없다. 이 책은 소프트웨어 엔지니어로서 성공과 성장에 필요한 실용적인 지식과 기술을 알려준다.
저자인 네서니얼 슈타와 댄 베가는 소프트웨어 엔지니어에게 정말 중요한 역량을 기를 수 있도록 길잡이가 되어 준다. 핵심을 짚는 조언부터 주제별 깊이 있는 해설까지, 실무에 도움이 되는 내용을 폭넓게 풀어낸다."
64,"AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",https://www.yes24.com/product/goods/185714339,김용성,프리렉,2026년 04월,22500,9.7,207,"언어가 코드가 되고 생각이 서비스가 되는 세상! AI, 더는 적당해서는 안 됩니다
최신 기술 및 트렌드로 한층 풍부해진 AI 교양부터 
당장 쓸 수 있는 기능별&단계별 AI 활용 역량 스텝 업 실전까지 제대로 시작하세요.
생성형 AI 보급 초기, 일찍이 인공지능 시대의 상식이자 최고 역량인 'AI 종합력', AI 리터러시(Artificial Intelligence Literacy)를 소개했으며, AI 윤리와 사회적 영향, AI 활용 문제 해결 등 다각적이며 균형 잡힌 AI 기초 역량 함양에 힘써 온 김용성 저자가, 마침내 2026년 '인공지능 필수 지식과 완벽 활용'을 한 권으로 잡을 수 있게 전면적으로 '플러스'된 ALL NEW 'AI 리터러시'로 돌아왔다.
2026년, 더욱 탄탄하게 업그레이드되어 돌아온 AI 시대 표준 교과서 『AI 리터러시+』
『AI 리터러시+』는 무작정 AI 도구들에 뛰어들지 않는다. 실효 없는 이론에 멈추지도 않는다. 이 책의 강점은 체계적인 이원화 접근에 있다. 우선 [기본] 파트는 2026년 기준으로 이 정도쯤은 알아야 하는 상식인 'AI와 데이터 지식'을 일러스트와 함께 친절하게 설명하며 기초부터 탄탄히 다져 나간다. 대화형 AI의 효율을 끌어올릴 질문법 '프롬프트 엔지니어링'은 '컨텍스트 엔지니어링'까지 포함하여 진일보되었다. 'AI에 대한 비판적 사고', 'AI 윤리와 사회적 영향' 역시 초판 출간 후 1년여 간의 변화를 충실히 담아 독자에게 실질적인 도움이 되도록 했다. 
후반부 [활용] 파트는 저자가 AI 교육 전문가로서 공공과 민간, 강의 현장을 오가며 얻은 인사이트를 농축해 전면 개편되었다. 단순히 인지/사용하는 도구 폭을 늘리는 데서 벗어나 보다 깊은 활용으로 '디바이드'를 극복하거나 창출하는 것이 중요해진 흐름을 따라, '같은 기능, 다른 서비스'를 기준으로 『기능별&유형별 기초 가이드』를 새로이 제시한다. 독자는 한 차원 업그레이드된 AI 선구안을 가지고, 더 생산적인 도구를 선택할 수 있을 것이다. 개정판의 백미는 태스크 기준으로 세분화한 'AI 활용 프로젝트'다. '진짜' AI 활용의 성패를 가르는 도구 조합법인 '툴 스택'을 익힌다면, Q&A에 머물지 않고 내가 당면한 실질적인 문제/업무를 정의하고 해결하는 제대로 된 AI 활용 역량을 기를 수 있을 것이다.
이제 AI 전 영역을 망라하는 체계적인 단 한 권으로, 단순 질문을 넘어 AI와 비상하라!"
65,혼자 공부하는 머신러닝+딥러닝,https://www.yes24.com/product/goods/143912145,박해선,한빛미디어,2025년 04월,28800,9.7,148,"머신러닝 분야 부동의 베스트셀러! 트랜스포머와 LLM 실습까지 더 많이 채웠다!
케라스는 물론 파이토치까지, 혼자서도 1:1 과외하듯 배우는 인공지능 자습서 
** 혼공 용어 노트, 저자 직강 유튜브 강의, FAQ(자주 하는 질문), 오픈 채팅 등 풀패키지 제공
『혼자 공부하는 머신러닝+딥러닝』 (개정판)은 머신러닝과 딥러닝의 핵심 개념을 쉽고 체계적으로 익힐 수 있도록 돕는 입문서로, 최신 AI 트렌드를 반영해 더욱 완성도를 높였다. 특히 트랜스포머와 대규모 언어 모델(LLM) 실습을 새롭게 추가하여, 최신 AI 기술이 실제로 어떻게 동작하는지 배울 수 있도록 했다.
1판에서 많은 독자의 사랑을 받았던 ‘1:1 과외하듯 배우는 설명 방식’과 ‘구글 코랩(Colab) 기반 실습’을 유지하면서, 파이토치 예제 코드를 보강했다. 또한, 각 장마다 ‘자주 하는 질문(FAQ)’ 코너를 추가해 학습자의 이해를 돕고, 실습 중 마주할 수 있는 오류나 개념적 궁금증을 쉽게 해결할 수 있도록 구성했다. 입문자가 실전에서 부딪히는 문제를 미리 경험하고 해결하는 능력을 키울 수 있어, 더욱 효과적으로 머신러닝과 딥러닝을 익힐 수 있다.
 또한, 혼공 용어 노트, 저자 유튜브 강의, Q&A 커뮤니티 등 다양한 학습 지원을 제공해 혼자서도 끝까지 학습을 이어갈 수 있도록 돕는다. 최신 AI 개념을 이해하고 실습까지 제대로 해보고 싶다면, 지금 이 책을 만나보자."
66,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,https://www.yes24.com/product/goods/189128697,황은지,제이펍,2026년 05월,19800,9.9,34,"진짜 일잘러 선생님을 위한 에듀테크 캔바 활용법
캔바를 안다고 해서 수업이 저절로 달라지지는 않는다. 하지만 이 책은 다르다. 캔바라는 도구를 교사의 언어로 풀어내, 책을 펼치는 순간부터 교실의 현장에 맞는 해답을 찾도록 돕는다. 이 책은 캔바를 이용해 우리 반만의 디지털 수업 환경을 세팅하고, 꼭 필요한 행정 자료 제작부터 프로젝트 수업 설계, 반짝이는 행사 자료를 만드는 노하우까지 차근차근 안내한다. 에듀테크가 낯선 교사에게는 친절한 안내서가 되고, 수업 혁신을 고민하는 교사에게는 든든한 치트키가 되어 줄 것이다."
67,된다! 하루 만에 준비하는 AI 학교 수업 활용법,https://www.yes24.com/product/goods/142814138,"정인걸, 김경수",이지스퍼블리싱,2025년 03월,17820,10.0,40,"2022 개정 교육과정 반영! AI 디지털 교과서 시대의 해법!
교육감, 한국과학창의재단 강사 추천!
상위 1% 에듀테크 교사의 수업 비법을 공개합니다!
AI 디지털 교과서 도입을 두고 찬반이 이어지는 가운데 교사와 아이들, 학부모들이 혼란 속에 놓여 있다. 이 같은 상황을 두고 볼 수 없어 상위 1% 에듀테크 교사와 미디어 교육의 선구자가 힘을 합쳤다. 해법은 바로 ‘과목별 30가지 AI 수업 아이디어’! 한 학기 분량인 15주 차에 맞춰 실제 수업 내용을 고스란히 가져와 책을 꾸렸다. 국어, 수학, 영어, 실과(정보), 과학, 사회, 음악, 미술, 체육 등 과목별 AI 수업을 구성해 어떤 수업이든 적용할 수 있게 했다. 이 책에서 다루는 AI 프로그램은 챗GPT, 캔바, 미리캔버스 등 구글에 기반한 무료 AI 프로그램이어서 따로 구입하지 않아도 된다. 수업 지도안, 활동지를 포함한 수업 자료도 모두 제공해서 AI 수업이 막막한 교사도 수업에 쉽게 적용할 수 있다. 또한 AI 교육에 관심이 많은 학부모도 집에서 쉽게 활용해 볼 수 있다."
68,혼자 공부하는 C 언어,https://www.yes24.com/product/goods/118982111,서현우,한빛미디어,2023년 05월,23400,9.6,54,"혼자 해도 충분하다! 1:1 과외하듯 배우는 C 프로그래밍 자습서
『혼자 공부하는 C 언어』가 더욱 흥미 있고 알찬 내용으로 돌아왔습니다. 혼자 공부하더라도 막히는 부분이 없도록 부가 설명용 동영상 ‘QR 코드’를 추가했습니다. 또한 최신 프로그램에서도 무리 없이 실습을 진행할 수 있도록 비주얼 스튜디오 2022 버전을 반영했습니다.
물론, 프로그래밍이 정말 처음인 사람에게 ‘꼭 필요한 내용’과 뭘 모르는지조차 모르는 마음에 십분 공감해 과외 선생님이 알려주듯 핵심 내용만 콕콕 짚어 주는 ‘친절한 설명’, 누구나 쉽게 따라 할 수 있도록 구성된 ‘단계별 학습’ 그리고 입문자에게 맞는 난이도, 분량, 학습 요소 등을 ‘베타리더의 의견’에 따라 적극 반영한 건 여전합니다!
단순한 문법 암기와 코딩 따라하기에 지쳤다면 새롭게 돌아온 친절한 ‘혼공 씨’와 함께 C 언어라는, 프로그래밍 언어의 근본을 경험해 보세요. 책의 첫 페이지를 펼치고 마지막 페이지를 덮을 때까지, 혼자서도 충분히 C 언어를 배울 수 있다는 자신감과 확신이 계속 들 것입니다!"
69,밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복,https://www.yes24.com/product/goods/192047818,엄태효,위키북스,2026년 06월,25200,10.0,2,"코딩을 몰라도, ‘바이브’만으로 소프트웨어를 만드는 시대!
클로드 코드로 시작하는 AI 개발 워크플로의 모든 것
지금은 AI 에이전트와 대화하며 소프트웨어를 만드는 ‘바이브 코딩’의 시대입니다. 이 책은 이 거대한 흐름 속에서 가장 강력한 도구로 떠오른 앤트로픽의 ‘클로드 코드’를 기초부터 심화까지 완벽하게 다룬 실전 지침서입니다.
이 책은 단순히 명령어 나열이나 기능 소개에 그치지 않습니다. 1분 만에 만드는 자기소개 페이지에서 출발해 포트폴리오 사이트와 토큰 계산기를 직접 만들고, 풀스택 웹 서비스의 설계·구현·배포까지 이어지는 전 과정을 한 권에 밀도 있게 담았습니다. 더 나아가 에이전트 스킬, 서브에이전트, 훅, 플러그인 같은 고급 기능을 활용해 자신만의 독창적인 AI 개발 워크플로를 구축하는 방법까지 친절하게 안내합니다."
70,클로드 코워크,https://www.yes24.com/product/goods/190852162,신승희,생능북스,2026년 06월,21600,10.0,26,"You Work, I CO-WORK!
너가 일하면 내가 협업할게, 클로드 코워크!
《24시간 일하는 나만의 AI 비서, 클로드 코워크》는 복잡하고 어렵게 느껴졌던 AI 협업 방식을 누구나 쉽게 실무에 적용할 수 있도록 구성한 클로드 코워크 실전형 가이드북입니다.
단순히 AI에게 질문하고 답을 받는 활용법을 넘어, AI와 함께 일하는 구조 자체를 설계하고 내 업무 흐름 안에서 자연스럽게 협업하는 방법을 단계별로 안내합니다. 책은 클로드 코워크 환경 구성과 기본 사용법부터 시작해, AI에게 업무를 나누는 방식, 프로젝트 맥락을 공유하는 구조, 반복 업무 자동화, 문서 및 자료 관리 방법까지 실제 업무에 바로 적용할 수 있도록 구성되어 있습니다. 또한 회의록 작성, 시장 리서치, 콘텐츠 기획, 제안서 제작, 브랜드 분석 등 다양한 실무 예제를 통해 AI를 단순한 도구가 아닌 ‘함께 일하는 파트너’로 활용하는 방법을 자연스럽게 익힐 수 있도록 돕습니다.
특히 “AI를 어떻게 내 업무 흐름 안에 자연스럽게 연결할 수 있을까?”라는 고민을 가진 사람들에게 최적화된 책으로, 복잡한 이론보다 실제 협업 중심의 사례와 따라 하기 방식으로 설명해 누구나 자신만의 AI 코워크 시스템을 구축할 수 있도록 안내합니다. 이 책을 통해 독자는 단순한 챗봇 활용을 넘어, 작업의 맥락을 이해하고 함께 결과물을 만들어가는 ‘24시간 일하는 AI 파트너’를 곁에 두게 될 것입니다."
71,아키텍처는 진화한다,https://www.yes24.com/product/goods/192470678,공상휘,인사이트(insight),2026년 07월,25200,,0,"잘 짜인 코드… 
하지만 시스템이 보이지 않는다면?
공들여 짠 코드는 잘 돌아간다. 그러나 성능 이슈 회의나 클라우드 전환 논의 자리에서는 코드가 돌아가는 구조를 설명하려니 쉽게 입이 떨어지지 않는다. 내가 만든 모듈이 시스템 어디에 놓였는지, 데이터가 어느 계층을 거쳐 사용자에게 닿는지, 머릿속에 그려지지 않기 때문이다.
이 책은 IT 시스템을 개별 기술의 나열이 아닌 하나의 진화 흐름으로 풀어낸다. 첫 번째 단계에서는 단세포 생명체가 기관을 갖춘 개체로 분화하듯, IT 시스템은 데이터베이스와 미들웨어, 애플리케이션 계층으로 분화되어 간다. 다음 단계에서는 다세포 생명체가 군집을 이루듯, 분화된 시스템들이 다시 연결되어 기업의 정보 흐름을 만들어간다. 마지막으로, 이 흐름 위에서 클라우드와 AI가 시스템을 새로운 차원으로 확장해 간다. AI가 코드를 대신 짜는 시대일수록, 시스템 전체를 그리는 힘은 사람의 몫으로 남는다. 이 책을 통해 보이지 않던 시스템의 구조가 머릿속 한 장의 지도로 그려질 것이다."
72,AI시대에 난생처음 들어보는 데이터센터 이야기,https://www.yes24.com/product/goods/188266803,김주회,북플레이트,2026년 04월,19800,10.0,18,"“데이터는 서버 안에 있고, 서버는 데이터센터 안에 있다”
AI 시대에 중요한 자산인 데이터와 데이터센터에 관한 쉽고도 핵심적인 메시지
『AI시대에 난생처음 들어보는 데이터센터 이야기』는 데이터센터를 처음 접하는 사람들이 재밌게 읽으며 관련 업무에 도움을 받길 바라는 마음으로 펴냈다.
데이터센터가 무엇인지부터 시작해서 데이터센터를 구성하는 것, 데이터센터를 짓기 위해 필요한 요소들, 구축 비용까지 실무 중심으로 데이터센터에 관해 속속들이 알려준다. 더불어 AI 시대를 맞아 데이터센터와 관련한 AI 이야기도 다루었으며, 마지막에는 지구 환경에 대한 저자의 생각까지 담았다.
저자의 친절하고 쉬운 설명은 데이터센터가 낯선 사람, 데이터센터 업무를 시작하려는 사람, 데이터센터의 필요성과 중요성을 알고 싶은 사람에게 구체적이고 확실한 도움이 될 것이다."
73,진짜 쓰는 프리미어 영상 편집 2026 (최신개정판),https://www.yes24.com/product/goods/191173742,조블리,제이펍,2026년 06월,23400,10.0,18,"‘프리미어 프로’ 대표 베스트셀러, 진짜 최신 개정판 출간!
유튜브 및 SNS 콘텐츠 제작을 위한 실무 중심 영상 편집 입문서로, 40만을 넘는 구독자의 선택을 받은 영상 편집 강사 조블리(조애리)의 노하우를 담았다. 이번 개정판은 어도비의 대표 영상 편집 프로그램인 '프리미어 프로(Premiere Pro)'가 '프리미어(Premiere)'로 제품명을 변경한 이후 처음 선보이는 최신판이다. 새롭게 바뀐 제품명과 로고, 최신 인터페이스를 반영했으며, 2026 버전에서 활용할 수 있는 다양한 실무 기능과 최신 AI 편집 기능 등을 수록했다."
74,"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!",https://www.yes24.com/product/goods/176901915,"임우균, 서지원",앤써북,2026년 02월,15120,10.0,19,"요즘 체육 수업, 에듀테크로 설계하고 기록하고 학생 성장으로 남는다!
『요즘 교사를 위한 체육 수업 에듀테크 활용법』은 체육 수업 전 과정에 에듀테크를 접목해, ‘보여주기 어려운 체육 수업’을 ‘설계하고 남길 수 있는 수업’으로 바꾸는 실전 안내서다. 이 책은 운동·스포츠·표현·평가 등 체육 수업의 모든 영역을 아우르며, 교사가 현장에서 바로 활용할 수 있는 체육 맞춤형 에듀테크 사례를 풍부하게 제시한다. 시범 부담, 공간 제약, 평가의 어려움 등 체육 수업에서 반복되는 고민을 에듀테크를 통해 어떻게 해결할 수 있는지 구체적인 수업 장면으로 보여준다. 특히 ‘체육+에듀테크=체듀테크’라는 개념을 중심으로 체육 수업을 데이터로 기록하고, 학생의 성장을 증거로 남기는 방법을 안내한다. AI 기반 체육 수업, 자기주도적 신체 활동 설계, 교실·체육관 대안 수업 등 미래 교육 흐름을 반영한 체육 수업 모델도 함께 담았다. 체육 수업이 막막했던 교사, 에듀테크를 어떻게 체육에 적용할지 고민하던 교사라면 이 책은 가장 현실적인 출발점이 되어줄 것이다.
체육 수업에 대한 고민이 있으셨나요? 그럴 때 외쳐보자!
도와줘요, 체듀테크!
『체듀테크』는 체육 수업에서 바로 할용할 수 있는 에듀테크를 소개하며 저자의 수업 철학과 현장 경험을 대신 전하는 안내자의 역할을 한다.
이 책의 특징은 다음과 같다.
- 운동, 스포츠, 표현, 평가까지, 체육 수업 전 과정의 에듀테크 활용 사례
- 지금 바로 수업에 적용할 수 있는 에듀테크 * 체육 수업 실전 가이드
- 시범/공간/평가 고민을 덜어주는 체육 수업 설계"
75,그림으로 이해하는 IT 인프라 구조와 기술,https://www.yes24.com/product/goods/192533233,"츠루나가 신이치, 야마모토 나오아키, 야마네 다케노부, 기타자키 아야치카, 김성훈",길벗,2026년 06월,19800,10.0,5,"서버, 네트워크, 클라우드, 운영, 보안은 어떻게 연결되는가? IT 인프라의 전체 지형도를 그리자!
IT 인프라를 이루는 기술의 관계와 흐름을 한 눈에 이해하는 그림/도식 중심의 종합 입문서!
이 책은 IT 인프라의 전체 구조와 기술, 즉 물리 계층부터 네트워크, 서버, 클라우드, 웹 시스템, 운영, 장애 대응까지 IT 인프라의 전체 지형도를 한 권으로 살펴보는 광범위한 입문서다. IT 인프라의 핵심 요소들을 하나의 흐름 안에서 설명하면서, 각 기술이 어떤 역할을 하고 서로 어떻게 연결되어 동작하는지 체계적으로 보여주고자 한 이유는 현대 사회의 거의 모든 시스템이 IT 인프라 위에서 동작하지만, 인프라를 구성하는 기술이 매우 방대하고 복잡해 개별 기술에는 익숙해도 전체 구조와 흐름까지 명확히 이해하기는 쉽지 않기 때문이다. 얽히고 흩어져 있는 인프라 기술을 풍부한 그림을 통해 이해하기 쉽게 정리하면서 실무에 필요한 내용까지 담았기 때문에 초보와 입문자에게는 인프라의 전체 구조를 이해하며 기초를 다질 수 있는 길잡이가 되고, 현업 엔지니어에게는 부족했던 부분의 지식을 보완하고 시야를 넓힐 수 있는 유용한 참고서가 되어 줄 것이다."
76,클로드 코워크 시작하기,https://www.yes24.com/product/goods/192164452,조남경,비엘북스,2026년 07월,25200,,0,"[엑셀 13개, 회의록, 제안서까지 - 커피 한 잔 뽑는 사이에 끝낸다고요?]
금요일 오후 4시, 부장님의 메신저 한 줄. “이번 주 매출 요약 6시까지, 슬라이드 3장으로 부탁해.” 모니터에 띄워진 엑셀 파일은 열세 개. 양식도 내용도 제각각입니다. 평소라면 합치고 정리해 슬라이드로 만드는 데만 세 시간, 야근을 각오해야 하는 상황입니다. 이 순간 세상에는 두 종류의 사람이 있습니다. 한 사람은 채팅 AI에게 “매출 요약하는 법”을 묻고 친절한 설명을 받지만, 결국 본인이 엑셀을 열어 복사하고 붙여넣어 슬라이드를 만듭니다. 다른 한 사람은 코워크 창에 엑셀 열세 개를 한꺼번에 떨어뜨리고 한 문장만 남긴 채 커피를 뽑으러 갑니다. 자리에 돌아올 때쯤, 완성된 PPT가 화면에 열려 있습니다.
이 책은 코드 한 줄 없이, 클로드 코워크(Claude Cowork)로 평범한 직장인이 빠르게 업무를 처리하는 과정을 보여줍니다. 단순히 답을 알려주는 AI가 아니라, 내 컴퓨터의 파일을 직접 열고·고치고·만들어서 폴더에 정리해 주는 ‘일하는 AI’의 사용법을 처음부터 끝까지 따라갑니다. 핵심 비유는 하나. 채팅 AI가 ‘전화 상담원’이라면, 코워크는 ‘옆자리 인턴’입니다. 상담원은 방법을 알려줄 뿐 내 책상 위 파일에는 손대지 못하지만, 옆자리 인턴은 직접 마우스를 잡고 끝까지 해냅니다. 결과물이 채팅창의 텍스트가 아니라 ‘내 폴더의 파일’로 돌아오는 이유입니다."
